Image Sticker,Slice Index,Model,IoU,Dice
lung_025,219,EfficientSAM (VIT-tiny),0.2857142857142857,0.4444444444444444
lung_025,219,EfficientSAM (VIT-small),0.3823529411764705,0.5531914893617021
lung_025,220,EfficientSAM (VIT-tiny),0.2434210526315789,0.3915343915343915
lung_025,220,EfficientSAM (VIT-small),0.2580645161290322,0.4102564102564102
lung_025,221,EfficientSAM (VIT-tiny),0.2443438914027149,0.3927272727272727
lung_025,221,EfficientSAM (VIT-small),0.4229249011857707,0.5944444444444444
lung_025,222,EfficientSAM (VIT-tiny),0.5581896551724138,0.7164591977869986
lung_025,222,EfficientSAM (VIT-small),0.5330490405117271,0.6954102920723226
lung_025,223,EfficientSAM (VIT-tiny),0.4926931106471816,0.6601398601398601
lung_025,223,EfficientSAM (VIT-small),0.5030927835051546,0.6694101508916324
lung_025,224,EfficientSAM (VIT-tiny),0.4274809160305343,0.5989304812834224
lung_025,224,EfficientSAM (VIT-small),0.4277879341864716,0.5992317541613317
lung_025,225,EfficientSAM (VIT-tiny),0.4761904761904761,0.6451612903225806
lung_025,225,EfficientSAM (VIT-small),0.3833605220228385,0.5542452830188679
lung_025,226,EfficientSAM (VIT-tiny),0.5092936802973977,0.6748768472906403
lung_025,226,EfficientSAM (VIT-small),0.3843478260869565,0.5552763819095478
lung_025,227,EfficientSAM (VIT-tiny),0.5433526011560693,0.704119850187266
lung_025,227,EfficientSAM (VIT-small),0.4466192170818505,0.6174661746617466
lung_025,228,EfficientSAM (VIT-tiny),0.522633744855967,0.6864864864864865
lung_025,228,EfficientSAM (VIT-small),0.494,0.6613119143239625
lung_025,229,EfficientSAM (VIT-tiny),0.4496919917864476,0.6203966005665722
lung_025,229,EfficientSAM (VIT-small),0.4861111111111111,0.6542056074766355
lung_025,230,EfficientSAM (VIT-tiny),0.4760869565217391,0.6450662739322534
lung_025,230,EfficientSAM (VIT-small),0.5662650602409639,0.7230769230769231
lung_025,231,EfficientSAM (VIT-tiny),0.5138539042821159,0.6788685524126455
lung_025,231,EfficientSAM (VIT-small),0.5637254901960784,0.7210031347962382
lung_025,232,EfficientSAM (VIT-tiny),0.5654450261780105,0.7224080267558528
lung_025,232,EfficientSAM (VIT-small),0.5935162094763092,0.7449139280125195
lung_025,233,EfficientSAM (VIT-tiny),0.3936651583710407,0.564935064935065
lung_025,233,EfficientSAM (VIT-small),0.4806201550387597,0.6492146596858639
lung_025,234,EfficientSAM (VIT-tiny),0.1297297297297297,0.2296650717703349
lung_025,234,EfficientSAM (VIT-small),0.1565656565656565,0.2707423580786026
lung_025,235,EfficientSAM (VIT-tiny),0.2357723577235772,0.3815789473684211
lung_025,235,EfficientSAM (VIT-small),0.2795031055900621,0.4368932038834951
lung_025,236,EfficientSAM (VIT-tiny),0.358974358974359,0.5283018867924528
lung_025,236,EfficientSAM (VIT-small),0.3571428571428571,0.5263157894736842
lung_025,237,EfficientSAM (VIT-tiny),0.4393939393939394,0.6105263157894737
lung_025,237,EfficientSAM (VIT-small),0.5581395348837209,0.7164179104477612
lung_071,149,EfficientSAM (VIT-tiny),0.054054054054054,0.1025641025641025
lung_071,149,EfficientSAM (VIT-small),0.2456140350877192,0.3943661971830985
lung_071,150,EfficientSAM (VIT-tiny),0.1759259259259259,0.2992125984251969
lung_071,150,EfficientSAM (VIT-small),0.2072072072072072,0.3432835820895522
lung_071,151,EfficientSAM (VIT-tiny),0.3081761006289308,0.4711538461538461
lung_071,151,EfficientSAM (VIT-small),0.4294478527607362,0.6008583690987125
lung_071,152,EfficientSAM (VIT-tiny),0.6038647342995169,0.7530120481927711
lung_071,152,EfficientSAM (VIT-small),0.6410256410256411,0.78125
lung_071,153,EfficientSAM (VIT-tiny),0.5770609318996416,0.7318181818181818
lung_071,153,EfficientSAM (VIT-small),0.6163793103448276,0.7626666666666667
lung_071,154,EfficientSAM (VIT-tiny),0.5172413793103449,0.6818181818181818
lung_071,154,EfficientSAM (VIT-small),0.5214521452145214,0.6854663774403471
lung_071,155,EfficientSAM (VIT-tiny),0.4640883977900552,0.6339622641509434
lung_071,155,EfficientSAM (VIT-small),0.5255255255255256,0.6889763779527559
lung_071,156,EfficientSAM (VIT-tiny),0.4929906542056075,0.6604068857589984
lung_071,156,EfficientSAM (VIT-small),0.5447368421052632,0.7052810902896082
lung_071,157,EfficientSAM (VIT-tiny),0.4582338902147971,0.6284779050736498
lung_071,157,EfficientSAM (VIT-small),0.5363881401617251,0.6982456140350877
